Database Source	Sequence ID	Plasmid name	Strain of origin	Sequence length
NCBI	NC_004945.1	pCG4	Corynebacterium glutamicum strain ATCC31830	29792
NCBI	NC_010507.1	pMRAD08	Methylobacterium radiotolerans JCM 2831	21324
NCBI	NC_010523.1	pHDC	Tetragenococcus halophilus	30353
NCBI	NC_011845.1	156a_cp32-7	Borrelia burgdorferi 156a	21635
NCBI	NZ_KT072713.1	pNDM229	Acinetobacter bereziniae strain HPC229	45198
NCBI	NZ_CP017853.1	pKPGJ-2d	Klebsiella variicola strain GJ2	59506
NCBI	NC_017783.1	clone	Borrelia crocidurae str. Achema	11100
NCBI	NZ_CP019671.1	unnamed	Burkholderia cenocepacia strain VC12308	17505
NCBI	NZ_CP020850.1	pKPN1481-4	Klebsiella pneumoniae strain KPN1481	12554
NCBI	NZ_CP011513.1	Unknown	Paenibacillus peoriae strain HS311	216330
NCBI	NZ_CP014825.1	sequence	Borrelia hermsii strain DAH-2E7	4343
NCBI	NZ_CP012861.1	JZB09-Plasmid3	Persicobacter sp. JZB09	640970
NCBI	NC_011843.1	156a_cp32-6	Borrelia burgdorferi 156a	30727
NCBI	NC_020801.1	pXAC33	Xanthomonas axonopodis Xac29-1	32257
NCBI	NZ_CP008707.1	p1AB5075	Acinetobacter baumannii strain AB5075-UW	84806
NCBI	NZ_CP015387.1	pNY9_2	Klebsiella pneumoniae strain NY9	141934
NCBI	NZ_CP014798.1	pTPRO2	Thiobacimonas profunda strain JLT2016	128357
NCBI	NZ_CP015919.1	pKPP01	Pediococcus pentosaceus strain wikim20	66323
NCBI	NC_009956.1	pDSHI02	Dinoroseobacter shibae DFL 12	155157
NCBI	NZ_CM003359.1	pMP43	Melissococcus plutonius strain B5	43317
NCBI	NC_023147.1	pPLA2_10	Paenibacillus larvae subsp. larvae DSM 25430	9809
EBI	AJ868436.1	from	Sodalis glossinidius pSG2	27694
NCBI	NC_007184.1	from	Sodalis glossinidius pSG2	27631
NCBI	NC_003080.1	pKW4	Corynebacterium jeikeium K411	14529
NCBI	NC_001797.1	pGB354	Streptococcus agalactiae	6530
NCBI	NC_023056.1	LA637P1	Erwinia amylovora LA637	28680
NCBI	NZ_CP009881.1	pKPC-1c5	Pantoea sp. PSNIH1	50992
NCBI	NZ_CP016302.1	pCMCVTAb2-Ab66	Acinetobacter baumannii strain CMC-CR-MDR-Ab66	74235
NCBI	NC_001832.1	Pp6427	Porphyra pulchra	6520
NCBI	NZ_CP015916.1	pSLy4	Escherichia coli strain 210205630	101527
NCBI	NZ_HG916854.1	pLPU83c	Rhizobium sp. LPU83	770643
NCBI	NZ_CP008991.1	pXAC64	Xanthomonas citri subsp. citri UI6	65849
NCBI	NZ_CP009035.1	pXCAW19	Xanthomonas citri subsp. citri strain AW15	19140
NCBI	NZ_CP017252.1	pO157	Escherichia coli strain NADC 5570/86-24/6564	94017
NCBI	NZ_CP014295.1	unnamed1	Klebsiella pneumoniae strain KP38731	139229
NCBI	NC_017211.1	pCT8252	Bacillus thuringiensis serovar chinensis CT-43	8371
NCBI	NZ_CP010208.1	B	Escherichia coli strain M11	56831
NCBI	NZ_CP011351.1	pYC3	Bacillus thuringiensis strain YC-10	81858
NCBI	NZ_CP009168.1	p1303_95	Escherichia coli 1303	96317
NCBI	NC_021987.1	p1	Enterococcus faecium Aus0085	132585
NCBI	NZ_CP009116.1	plasmid1	Klebsiella pneumoniae strain blaNDM-1	96115
NCBI	NC_023058.1	pMC3	Exiguobacterium sp. S3-2	4510
NCBI	NC_011412.1	pCP8533etx	Clostridium perfringens	65680
NCBI	NC_002113.1	pAYS	Nitrosomonas sp.	1851
NCBI	NC_019426.1	pZM3H1	Halomonas sp. ZM3	31820
NCBI	NC_017210.1	pCT6880	Bacillus thuringiensis serovar chinensis CT-43	6980
NCBI	NZ_CP014770.1	unnamed2	Hymenobacter sp. PAMC 26554	6514
NCBI	NC_023284.1	pFRL4	Streptomyces sp. F2	438334
NCBI	NZ_CP018856.1	pLH276.2	Xanthomonas citri subsp. citri strain LH276	74069
NCBI	NZ_CP013976.1	pPSCRG02-1	Piscirickettsia salmonis strain CGR02	117584
NCBI	NC_022574.1	pPL374	Paenibacillus larvae	5099
NCBI	NC_012244.1	94a_lp54	Borrelia burgdorferi 94a	54525
NCBI	NC_002111.1	pCFC1	Riemerella anatipestifer 10	4024
NCBI	NZ_CP013258.1	4	Kocuria flava strain HO-9041	4586
NCBI	NC_013206.1	pAACI01	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	93038
NCBI	NC_001853.1	lp28-3	Borrelia burgdorferi B31	29011
NCBI	NZ_CP018749.1	lp28-7	Borreliella garinii strain CIP 103362	27463
NCBI	NZ_CP014395.1	pUSA05-1-SUR9	Staphylococcus aureus strain USA300-SUR9	2510
NCBI	NZ_CP013267.1	pDE3	Sphingobium baderi strain DE-13	74613
NCBI	NC_001858.1	pPL10	Bacillus pumilus	7130
NCBI	NC_004767.1	pHP51	Helicobacter pylori	4013
NCBI	NC_009128.1	pLEW279a	Corynebacterium sp. L2-79-05	35102
NCBI	NC_014172.1	pBMB171	Bacillus thuringiensis BMB171	317435
NCBI	NC_011848.1	PBr_cp32-5	Borrelia garinii PBr	30120
NCBI	NC_008051.1	pCC2228-3	Campylobacter coli RM2228	4339
NCBI	NZ_CP013172.1	unnamed21	Lactobacillus plantarum strain MF1298	2484
NCBI	NZ_CP010360.2	p35734-141.404kb	Enterobacter cloacae complex sp. 35734	143424
NCBI	NC_021501.1	pKOX_NDM1	Klebsiella michiganensis strain E718	112365
NCBI	NC_021572.1	pLP5401	Lactobacillus paracasei	9895
NCBI	NZ_CM007620.1	pLM199.1	Xanthomonas citri subsp. citri strain LM199	199902
NCBI	NC_013129.1	JD1_lp54	Borrelia burgdorferi JD1	53673
NCBI	NC_010724.1	pNTHE02	Natranaerobius thermophilus JW/NM-WN-LF	8815
NCBI	NZ_CP009646.1	pBTZ_6	Bacillus mycoides strain BTZ	4669
NCBI	NZ_CP013721.1	pRM10607	Salmonella enterica subsp. enterica serovar Typhimurium strain RM10607	95268
NCBI	NC_020379.1	pIS56-15	Bacillus thuringiensis serovar thuringiensis str. IS5056	15403
NCBI	NC_011723.1	pP880102	Cyanothece sp. PCC 8801	41370
NCBI	NZ_CP012186.1	pBCI1-1	Pseudonocardia sp. EC080619-01	209487
NCBI	NC_019385.1	PML21	Enterococcus faecalis	5679
NCBI	NC_019292.1	pPsv48C	Pseudomonas savastanoi NCPPB 3335 native	42706
NCBI	NZ_CP008812.1	pCFV97608-2	Campylobacter fetus subsp. venerealis 97/608	27513
NCBI	NZ_CP011836.1	pacX50fB3	Azotobacter chroococcum strain B3	310477
NCBI	NZ_CP013369.1	pRF23	Burkholderia ubonensis strain RF23-BP41	262376
NCBI	NC_025015.1	pBBR1	B.bronchiseptica	2727
NCBI	NC_015187.1	pACMV2	Acidiphilium multivorum AIU301	66502
NCBI	NZ_CP023355.1	p72	Escherichia coli strain 746	73507
NCBI	NC_011966.1	72a_lp32-3	Borrelia burgdorferi 72a	13055
NCBI	NZ_CP013790.1	p4PS7	Piscirickettsia salmonis strain PM58386B	34036
NCBI	NC_015498.1	pGLAAG01	Glaciecola sp. 4H-3-7+YE-5	346159
NCBI	NC_020962.1	pSotonIa1	Chlamydia trachomatis Ia/SotonIa1	7609
NCBI	NZ_CP019464.1	unnamed7	Streptomyces autolyticus strain CGMCC0516	15825
NCBI	NZ_CP009342.1	Unknown	Francisella philomiragia strain O#319-029	3994
NCBI	NZ_CP021695.1	tig00000123	Proteus mirabilis strain AR_0155	217506
NCBI	NZ_CP016900.1	pGFJ4	Acinetobacter soli strain GFJ2	9552
NCBI	NC_003458.1	pLA103	Lactobacillus acidophilus	14113
NCBI	NZ_CP015073.1	pEC743_4	Escherichia coli strain Ecol_743	37530
NCBI	NZ_CM003756.1	pXF-P4.CVC0251	Xylella fastidiosa strain CVC0251	31417
NCBI	NC_013776.1	pSRD192	Selenomonas ruminantium strain 19	2369
NCBI	NC_019557.1	pNM8	Planococcus citreus	8378
NCBI	NZ_CP019840.1	pASM1	Enterobacter cloacae strain R11	86482
NCBI	NC_007141.1	pTet	Campylobacter jejuni subsp. jejuni 81-176	45857
NCBI	NC_010932.1	pHP666	Helicobacter pylori strain CCUG 17874	8225
NCBI	NZ_CP009875.1	pKpQIL-531	Klebsiella pneumoniae subsp. pneumoniae strain KPNIH30	115264
NCBI	NZ_CP011596.1	pCAV1099-114	Klebsiella oxytoca strain CAV1099	115622
NCBI	NZ_CP019971.1	p114-1	Enterococcus faecium isolate 2014-VREF-114	131537
NCBI	NZ_CP014974.1	pSTY3-1898	Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1898	36469
NCBI	NC_012579.1	pX01	Bacillus anthracis str. CDC 684	184371
NCBI	NZ_CP021675.1	pLB1106-3	Lactobacillus brevis strain SRCM101106	36722
NCBI	NZ_CP020112.1	tig00000004	Klebsiella pneumoniae strain AR_0098	14040
NCBI	NZ_CP017909.1	pL291	Vibrio alginolyticus strain K06K5	295448
NCBI	NZ_CP012683.1	p33673_IncF	Salmonella enterica subsp. enterica serovar Typhimurium strain 33676	114250
NCBI	NZ_CM003515.1	unnamed	Chlamydia psittaci DD34	7662
NCBI	NZ_CP007558.1	pKEC-a3c	Citrobacter freundii CFNIH1	276188
NCBI	NC_019744.1	pCYLST.02	Cylindrospermum stagnale PCC 7417	156538
NCBI	NZ_CP018689.1	pKp_Goe_473-2	Klebsiella pneumoniae strain Kp_Goe_149473	97444
NCBI	NC_011061.1	pPAES01	Prosthecochloris aestuarii DSM 271	67727
NCBI	NC_020280.1	pEI3	Edwardsiella ictaluri	5095
NCBI	NZ_CP013268.1	pDE4	Sphingobium baderi strain DE-13	44301
NCBI	NZ_CM003129.1	pHPY1846	Helicobacter pylori strain 1846/05	3208
NCBI	NC_011787.1	lp28-9	Borrelia afzelii ACA-1	29175
NCBI	NZ_CP015365.1	pAba3207a	Acinetobacter baumannii strain 3207	13672
NCBI	NC_012174.1	64b_lp28-5	Borrelia burgdorferi 64b	27160
NCBI	NZ_CP019941.1	unnamed4	Ketogulonicigenium robustum strain SPU_B003	4064
NCBI	NC_006129.1	lp54	Borreliella bavariensis PBi	56355
NCBI	NZ_CP009582.1	unnamed	Escherichia coli FAP1	46838
NCBI	NZ_CP015155.1	pBTBC5	Bacillus thuringiensis strain Bc601	85188
NCBI	NZ_CP007135.1	pO145-12761	Escherichia coli O145:H28 str. RM12761	99469
NCBI	NC_012111.1	64b_cp32-5	Borrelia burgdorferi 64b	31327
NCBI	NZ_CP018684.2	p3	Vibrio harveyi isolate QT520	60714
NCBI	NC_021996.1	p5	Enterococcus faecium Aus0085	4132
NCBI	NC_019392.1	Unknown	Chlamydia psittaci 01DC12 p01DC12	7662
NCBI	NZ_CP007516.1	2	Rubrobacter radiotolerans strain RSPS-4	151948
NCBI	NC_017258.1	pTrp	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	3699
NCBI	NZ_CM001872.1	unnamed-p1	Xanthomonas campestris pv. campestris str. CN14	33933
NCBI	NC_015963.1	pENTAS01	Enterobacter asburiae LF7a	169108
NCBI	NC_012527.1	1	Deinococcus deserti VCD115	329351
NCBI	NZ_CP013545.1	pRphaR620c	Rhizobium phaseoli strain R620	419357
NCBI	NZ_CP014900.1	pL12002-1	Lactobacillus backii strain TMW 1.2002	29413
NCBI	NZ_CP017280.1	pEN-119	Enterobacter ludwigii strain EN-119	96694
NCBI	NZ_CP010181.1	A	Escherichia coli strain M1	204816
NCBI	NC_017231.1	cp32-7	Borrelia afzelii PKo	25624
NCBI	NZ_CP015742.1	pShin-06	Shinella sp. HZN7	150010
NCBI	NC_010625.1	pBPHY01	Paraburkholderia phymatum STM815	1932107
NCBI	NC_013779.1	pSQ10	Nocardiopsis sp. 90127	18481
NCBI	NZ_CP021908.1	pG478	Staphylococcus aureus strain Seattle 1945 isolate G478	27884
NCBI	NZ_LT853884.1	pPD885-27	Xanthomonas fragariae isolate PD8851 genome assembly,	27495
NCBI	NZ_CP018476.1	pLH3.2	Xanthomonas perforans strain LH3	70762
NCBI	NZ_CM001846.1	pMS	Bartonella schoenbuchensis m07a	3419
NCBI	NC_025173.1	pMS32-1	Acinetobacter pittii strain MS32	95768
NCBI	NC_016824.1	C	Shigella sonnei 53G	2120
NCBI	NZ_CP015446.1	Unknown	Streptomyces sp. S8	73830
NCBI	NZ_CP018969.1	pEC542_1	Escherichia coli strain Ecol_542	83542
NCBI	NC_016862.1	pSTMDT12_S	Salmonella enterica subsp. enterica serovar Typhimurium str. T000240	8795
NCBI	NC_002140.1	pSSU1	Streptococcus suis	5048
NCBI	NZ_CP017437.1	pO157	Escherichia coli O157:H7 strain 2149	93889
NCBI	NZ_CP015009.1	pAA04	Aminobacter aminovorans strain KCTC 2477	140035
NCBI	NC_023497.1	pXL100	Amycolatopsis orientalis HCCB10007	33979
NCBI	NZ_CP013635.1	pRspN324e	Rhizobium sp. N324	677169
NCBI	NC_016022.1	pGXY040	Komagataeibacter medellinensis NBRC 3288	4846
NCBI	NZ_CP006590.1	pHC	Hymenobacter sp. APR13	4033
NCBI	NZ_CP010095.1	pBMB47	Bacillus thuringiensis serovar galleriae strain HD-29	47652
NCBI	NC_020918.1	pEA29	Erwinina amylovora CFBP 1232	28655
NCBI	NC_022436.1	sequence	Desulfovibrio gigas DSM 1382 = ATCC 19364	103482
NCBI	NC_004670.1	pTEF3	Enterococcus faecalis V583	18221
NCBI	NC_019163.1	pTR4	Klebsiella pneumoniae	41777
NCBI	NZ_ATSX01000011.1	pA	Commensalibacter sp. MX01	15647
NCBI	NZ_CP006570.1	pHS1	Sodalis praecaptivus strain HS1	456326
NCBI	NC_017775.1	clone	Borrelia crocidurae str. Achema	5210
NCBI	NZ_LT216439.1	KPN207_p3	Klebsiella pneumoniae isolate 207M1D0-sc-2013-04-03T11:21:06Z-1606409 genome assembly,	217787
NCBI	NC_006826.1	pSx-Qyy	Sphingobium xenophagum QYY	5766
NCBI	NC_021869.1	pSEEH1578_03	Salmonella enterica subsp. enterica serovar Heidelberg str. 41578	4843
NCBI	NC_016907.1	p174	Gordonia polyisoprenivorans VH2	176988
NCBI	NZ_CP013536.1	pRphaR650d	Rhizobium phaseoli strain R650	1005092
NCBI	NZ_CM003248.1	pXO1	Bacillus anthracis strain A1075	185249
NCBI	NZ_LN614829.1	III	Legionella fallonii LLAP-10 genome assembly LFA,	14776
NCBI	NC_017507.1	pHP-187	Marinobacter adhaerens HP15	190145
NCBI	NC_011873.1	Far04_lp28-9	Borrelia garinii Far04	28086
NCBI	NZ_CM007911.1	unnamed4	Escherichia coli strain CH613_eco	259670
NCBI	NZ_CP018950.1	pEC276_3	Escherichia coli strain Ecol_276	35730
NCBI	NZ_CP013570.1	pRphaN771b	Rhizobium phaseoli strain N771	357165
NCBI	NC_006855.1	pSCV50	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	50267
NCBI	NC_025117.1	pM131-11	Acinetobacter sp. M131	1761
NCBI	NC_018879.1	BTB_78p	Bacillus thuringiensis Bt407	79009
NCBI	NC_019286.1	pINCan01	Klebsiella oxytoca	6149
NCBI	NC_020921.1	pEA29	Erwinia amylovora Ea644	29099
NCBI	NZ_LN831038.1	3	Staphylococcus aureus genome assembly NCTC13435,	5216
NCBI	NZ_CP013272.1	pDE8	Sphingobium baderi strain DE-13	5903
NCBI	NZ_CM003346.1	pNG869_1	Neisseria gonorrhoeae strain NG_869	42607
NCBI	NC_018503.1	p07	Bacillus thuringiensis HD-771	9201
NCBI	NZ_CP014908.1	pL1481-1	Lactobacillus lindneri strain TMW 1.481	15178
NCBI	NC_001476.1	pHPM186	Helicobacter pylori	13073
NCBI	NC_002135.1	mlp1	Pleurotus ostreatus mitochondrial	10022
NCBI	NC_023914.1	pNDM-HF727	Enterobacter cloacae strain CRE727	54808
NCBI	NC_007956.1	pLS30	Bacillus subtilis	6706
NCBI	NC_004073.2	pANL	Synechococcus elongatus PCC 7942	47030
NCBI	NZ_CP011399.1	pCFSAN008100	Listeria monocytogenes strain CFSAN008100	69200
NCBI	NC_018982.1	297_cp32-9	Borrelia burgdorferi 297	21476
NCBI	NZ_CP011986.1	pUHKPC07-113.639kb	Klebsiella pneumoniae UHKPC07	115264
NCBI	NC_017405.1	JD1	Borrelia burgdorferi JD1	29210
NCBI	NC_004446.1	pEA2.8	Erwinia amylovora IL-5	2867
NCBI	NZ_CP014530.1	pl1	Enterococcus faecium strain E745	226885
NCBI	NZ_AYOH01000010.1	pABUH1-74	Acinetobacter baumannii UH9907	75149
NCBI	NZ_CP019366.1	lpF33.5	Borrelia turicatae 91E135	33942
NCBI	NZ_CP011619.1	pCAV1344-3741	Klebsiella pneumoniae strain CAV1344	3796
NCBI	NC_001904.1	cp9	Borrelia burgdorferi B31	9522
NCBI	NZ_CP012652.1	pMK04	Lactobacillus plantarum strain HFC8	46670
NCBI	NC_011858.1	PBr_lp28-3	Borrelia garinii PBr	17862
NCBI	NZ_CP019148.1	pZS-8	Acinetobacter lwoffii strain ZS207	5598
NCBI	NC_010886.1	pK245	Klebsiella pneumoniae	99669
NCBI	NZ_CP008988.1	pXAC64	Xanthomonas citri subsp. citri strain UI7	65849
NCBI	NZ_CP011431.1	pYU39_IncX	Salmonella enterica subsp. enterica strain YU39	42803
NCBI	NZ_CP010972.1	pRra3	Rickettsia raoultii strain Khabarovsk	35079
NCBI	NZ_CP014068.1	Unknown	Enterococcus gallinarum strain FDAARGOS_163	89381
NCBI	NZ_CP006028.1	pO145-13514	Escherichia coli O145:H28 str. RM13514	88366
NCBI	NZ_CM008157.1	pRspN4311a	Rhizobium sp. N4311	310209
NCBI	NC_014544.1	pLLO	Legionella longbeachae NSW150	72854
NCBI	NZ_CM002808.1	pPA79	Planktothrix agardhii NIVA-CYA 126/8	80238
NCBI	NC_017558.1	pRSC35	Ralstonia solanacearum CMR15	35510
NCBI	NZ_CP019847.1	cp32-3	Borreliella burgdorferi	30854
NCBI	NC_010286.1	pUCH-1	Chlamydia trachomatis	7609
NCBI	NZ_CP012569.1	pUCLAOXA232-3.X	Klebsiella pneumoniae strain UCLAOXA232KP	84928
NCBI	NZ_CP017285.1	pKPGJ-3a	Klebsiella variicola strain GJ3	110414
NCBI	NZ_CM003351.1	p4Cn27606	Clostridium novyi B str. ATCC 27606	30338
NCBI	NZ_CP006761.1	pCD	Yersinia pestis 1413	72546
NCBI	NC_011980.1	pAPEC-1	Escherichia coli chi7122	104752
NCBI	NZ_CP018473.1	pLH3.4	Xanthomonas perforans strain LH3	39301
NCBI	NC_020131.1	pMobC	Citrobacter freundii strain CFSTE	9099
NCBI	NZ_AP017296.1	pNOS3756_1	Nostoc sp. NIES-3756	453696
NCBI	NC_006134.1	pCC31	Campylobacter coli	45347
NCBI	NZ_CP008840.1	pEB01-2	Lactobacillus gasseri DSM 14869	36171
NCBI	NC_014159.1	pTpau01	Tsukamurella paurometabola DSM 20162	101233
NCBI	NC_014149.1	pPLIM01	Planctopirus limnophila DSM 3776	37540
NCBI	NC_020951.1	pL1115	Chlamydia trachomatis L1/115	7609
NCBI	NZ_CP010587.1	p1	Bacillus megaterium strain Q3	77351
NCBI	NC_014157.1	pSR84	Salinibacter ruber M8	85546
NCBI	NZ_CP016003.1	pkk2	Burkholderia sp. KK1	264961
NCBI	NZ_CP020748.1	unnamed5	Bacillus mycoides strain Gnyt1	74458
NCBI	NC_013964.1	pHV3	Haloferax volcanii DS2	444163
NCBI	NC_017205.1	pCT72	Bacillus thuringiensis serovar chinensis CT-43	73105
NCBI	NC_014003.1	pSN11/00Kan	Salmonella enterica subsp. enterica serovar Newport	5781
NCBI	NZ_CM003191.1	unnamed	Rhodococcus sp. AD45	348575
NCBI	NZ_CP019647.1	p275_TW-Stm6	Salmonella enterica subsp. enterica serovar Typhimurium strain TW-Stm6	279743
NCBI	NZ_CP005086.1	pTK2	Sphingobium sp. TKS	198100
NCBI	NC_006374.1	pBRG1	Bartonella grahamii cryptic	2765
NCBI	NZ_ADWW01000011.1	pBM19	Bacillus methanolicus MGA3	19444
NCBI	NC_023285.1	pFRL5	Streptomyces sp. F8	415065
NCBI	NZ_CP011353.1	pYC5	Bacillus thuringiensis strain YC-10	17308
NCBI	NZ_CP009145.1	pSymA	Sinorhizobium meliloti strain RMO17	1487801
NCBI	NZ_CP020446.1	unnamed6	Paracoccus yeei strain FDAARGOS_252	43354
NCBI	NC_018880.1	BTB_15p	Bacillus thuringiensis Bt407	15407
NCBI	NC_017414.1	N40_lp36	Borrelia burgdorferi N40	29613
NCBI	NZ_AUPS01000028.1	pS1b	Staphylococcus aureus S1	4880
NCBI	NC_005793.2	pEST4011	Achromobacter denitrificans	78059
NCBI	NC_011796.1	pBMB7635	Bacillus thuringiensis serovar kurstaki str. YBT-1520	7746
NCBI	NC_017588.1	pTTJL1801	Thermus thermophilus JL-18	269686
NCBI	NC_012858.1	pR132502	Rhizobium leguminosarum bv. trifolii WSM1325	670417
NCBI	NC_004457.1	1	Zymomonas mobilis ZM4	41578
NCBI	NZ_CP016080.1	pML2037	Mesorhizobium loti NZP2037	481192
NCBI	NZ_CP007625.1	Unknown	Bacillus mycoides strain 219298	289238
NCBI	NZ_CP011383.1	unnamed1	Calothrix sp. 336/3	109099
NCBI	NZ_CP007642.1	pRetIE4803a	Rhizobium etli bv. phaseoli str. IE4803	451555
NCBI	NC_017589.1	CMR15_mp	Ralstonia solanacearum CMR15	1987326
NCBI	NC_019772.1	pANACY.01	Anabaena cylindrica PCC 7122	223068
NCBI	NC_012495.1	29805_lp28-6	Borrelia burgdorferi 29805	30591
NCBI	NZ_CP012877.1	pMKC04	Weissella cibaria strain CH2	9621
NCBI	NC_013718.1	pCROD2	Citrobacter rodentium ICC168	39827
NCBI	NC_032102.1	pG6809-1	Enterobacter cloacae strain G6809	110013
NCBI	NZ_CP012512.1	pPSB1-4	Piscirickettsia salmonis strain PM32597B1	33968
NCBI	NZ_CP011837.1	pacX50dB3a	Azotobacter chroococcum strain B3	75853
NCBI	NC_002487.1	pCol-let	Escherichia coli	5932
NCBI	NZ_CP010097.1	pBMB12	Bacillus thuringiensis serovar galleriae strain HD-29	13051
NCBI	NZ_CP021033.1	pRspNXC14c	Rhizobium sp. NXC14	901717
NCBI	NC_015716.1	pZYMOP02	Zymomonas mobilis subsp. pomaceae ATCC 29192	34651
NCBI	NZ_CP014828.1	genomic	Borrelia hermsii strain DAH-2E7	2847
NCBI	NC_023140.1	pGal_D78	Phaeobacter gallaeciensis DSM 26640	78990
NCBI	NC_017497.1	pQA504	Lactococcus lactis subsp. cremoris A76	4036
NCBI	NZ_CP010387.1	p34399-43.500kb	Enterobacter hormaechei subsp. oharae strain 34399	44123
NCBI	NZ_CP018767.1	pUCI62	Staphylococcus aureus strain UCI62	27241
NCBI	NZ_CP013942.1	pCMA2	Cronobacter malonaticus LMG 23826	53375
NCBI	NZ_CP011772.1	p2	Croceicoccus naphthovorans strain PQ-2	126864
NCBI	NZ_CP010908.1	pBMSBPS1	Candidatus Pantoea carbekii strain US	14772
NCBI	NC_010849.1	pRL1	Streptomyces sp. 44030	33228
NCBI	NC_010850.1	pNSL1	Rhodococcus sp. NS1	118929
NCBI	NZ_CP018878.1	5	Bacillus megaterium strain JX285	61777
NCBI	NZ_CP012955.1	pD36-3	Acinetobacter baumannii strain D36	9410
NCBI	NZ_CP013265.1	pDE1	Sphingobium baderi strain DE-13	232999
NCBI	NZ_CP007048.1	Unknown	Rhizobium leguminosarum bv. trifolii WSM1689	346270
NCBI	NZ_CP017356.1	pL125-2	Lactobacillus plantarum strain TMW 1.25	48501
NCBI	NZ_CP014882.1	pL11991-1	Lactobacillus backii strain TMW 1.1991	18104
NCBI	NZ_CP012638.1	pSF-088-3	Escherichia coli strain SF-088	3961
NCBI	NC_003893.1	pLP2000	Lactobacillus plantarum	2092
NCBI	NC_012624.1	pYN01	Sulfolobus islandicus Y.N.15.51	42850
NCBI	NZ_CP006000.1	pEB2	Escherichia coli B7A	52773
NCBI	NZ_CP012757.1	Unknown	Staphylococcus aureus subsp. aureus strain JS395	43359
NCBI	NZ_CP018679.1	pALAC4-2	Acinetobacter baumannii strain LAC4	6166
NCBI	NC_019976.1	2	Natronococcus occultus SP4	292078
NCBI	NZ_CP011354.1	pYC6	Bacillus thuringiensis strain YC-10	8634
NCBI	NZ_CP013058.1	pYWC2-8-3	Bacillus thuringiensis strain YWC2-8	83712
NCBI	NC_001597.1	pMA2	Microcystis aeruginosa	5066
NCBI	NC_014811.1	pMSPYR101	Mycobacterium gilvum Spyr1	214892
NCBI	NC_003078.1	pSymB	Sinorhizobium meliloti 1021	1707382
NCBI	NC_020523.1	pCC1	Corynebacterium callunae DSM 20147	4169
NCBI	NC_005563.1	pML	Methanohalophilus mahii	2190
NCBI	NZ_CP012520.1	pXO1	Bacillus anthracis strain Larissa	184255
NCBI	NZ_CP009064.1	lp28-3	Borrelia afzelii K78	24630
NCBI	NC_009430.1	pRSPA02	Rhodobacter sphaeroides ATCC 17025	293626
NCBI	NZ_AP014820.1	pGM05	Geminocystis sp. NIES-3708	5180
NCBI	NZ_CP014237.1	unnamed2	Moraxella osloensis strain CCUG 350	35693
NCBI	NC_007971.2	pMOL30	Cupriavidus metallidurans CH34	237060
NCBI	NZ_CP016520.1	pCE-R2-11-0435_92	Salmonella enterica subsp. enterica serovar Heidelberg strain CE-R2-11-0435	93643
NCBI	NC_016079.1	pPHB2	Pelagibacterium halotolerans B2	4109
NCBI	NZ_CP016021.1	Unknown	Bacillus sp. Alg07	16639
NCBI	NC_009666.2	pM4	Lactobacillus plantarum M4	3369
NCBI	NC_010864.1	pEOC01	Pediococcus acidilactici	11829
NCBI	NZ_CP012906.1	Unknown	Helicobacter pylori strain 7C	6934
NCBI	NC_005005.1	pSE-12228-04	Staphylococcus epidermidis ATCC 12228	17509
NCBI	NZ_CP015517.1	Unknown	Enterococcus hirae strain R17	74627
NCBI	NC_018069.1	pSSIL1	Solibacillus silvestris StLB046	15116
NCBI	NZ_CP022108.1	pHL2HP61	Halobacillus halophilus strain HL2HP6	7246
NCBI	NZ_CP015523.1	unnamed2	Sphingomonas sp. NIC1	180393
NCBI	NZ_CP020118.1	unitig_6	Escherichia coli strain AR_0104	112802
NCBI	NC_011408.1	pSE11-5	Escherichia coli SE11	5444
NCBI	NZ_CP016206.1	unnamed1	Prevotella scopos JCM 17725 strain W2052	7441
NCBI	NC_018148.1	pZZ6.03	Zymomonas mobilis subsp. mobilis ATCC 29191	13940
NCBI	NZ_LN890521.1	2	Salmonella enterica subsp. enterica serovar Weltevreden genome assembly C2346,	100189
NCBI	NZ_CP015624.1	pCRULAC2	Corynebacterium sp. JZ16	25638
NCBI	NC_003319.1	2	Streptomyces coelicolor	7797
NCBI	NC_011974.1	72a_cp26	Borrelia burgdorferi 72a	26902
NCBI	NC_016974.1	pMR0211	Providencia stuartii	180825
NCBI	NC_017553.1	PAGR_p	Pantoea ananatis PA13	284765
NCBI	NC_006139.1	large	Desulfotalea psychrophila LSv54, large	123325
NCBI	NZ_CP018857.1	pLH276.3	Xanthomonas citri subsp. citri strain LH276	51925
NCBI	NC_017718.1	pCol1B9_SL1344	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	88151
NCBI	NZ_CP015174.1	pRIVM6519-1	Staphylococcus aureus strain RIVM6519	4326
NCBI	NZ_CP014198.2	pColE1-MRE600	Escherichia coli strain MRE600	7159
NCBI	NC_015659.1	pHALXA03	Halopiger xanaduensis SH-6	69747
NCBI	NZ_CP007735.1	pKPN-a41	Klebsiella pneumoniae subsp. pneumoniae KPNIH27	91054
